blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.25375,9.48431,25.03206,0.70343
linear,1.04258,7.33502,31.66828,0.92349
cosine,1.01937,7.77531,33.01631,0.94566
gaussian,0.99747,8.02804,34.15339,0.95960
data,1.04166,7.72766,32.13020,0.93064
