blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.22784,9.60869,24.95424,0.67847
linear,1.02867,7.20867,31.57439,0.91645
cosine,1.00455,7.66776,32.83116,0.94071
gaussian,0.98176,7.94187,33.86614,0.95581
data,1.03501,7.57110,31.93128,0.92215
