blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.30480,9.63283,24.32797,0.70512
linear,1.08441,7.28974,30.89583,0.92047
cosine,1.05824,7.75734,32.21722,0.94293
gaussian,1.03376,8.03859,33.35403,0.95709
data,1.08051,7.69778,31.35186,0.92696
