delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,32.17144,0.86079,4.30450,6.68777,40
6,81.25000,31.40123,0.83027,4.93155,7.35799,40
10,68.75000,30.47925,0.78652,5.85089,8.29905,40
13,59.37500,29.86676,0.75973,6.37693,8.87471,40
16,50.00000,29.54115,0.73483,6.65632,9.20848,40
19,40.62500,28.89737,0.70008,7.38837,10.01138,40
22,31.25000,28.50381,0.66373,7.83114,10.58016,40
26,18.75000,27.65774,0.59429,8.84908,11.75736,40
29,9.37500,26.89921,0.54497,9.69013,12.67528,40
31,3.12500,26.44990,0.50046,10.12256,13.23881,40
