delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.99302,0.84628,4.57952,6.88679,40
6,81.25000,31.14967,0.81319,5.24749,7.63102,40
10,68.75000,30.03243,0.76846,6.31119,8.77892,40
13,59.37500,29.67624,0.75854,6.57077,9.06432,40
16,50.00000,29.10532,0.73098,7.08068,9.67215,40
19,40.62500,28.45580,0.69850,7.78572,10.47819,40
22,31.25000,28.12313,0.66023,8.23837,11.01587,40
26,18.75000,27.46792,0.60789,8.93052,11.78530,40
29,9.37500,27.28033,0.56036,9.27289,12.17106,40
31,3.12500,26.79943,0.53010,9.71345,12.79732,40
