delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.59793,0.85464,4.48336,7.07756,40
6,81.25000,30.77425,0.82495,5.13712,7.77069,40
10,68.75000,29.88482,0.78806,5.93598,8.63459,40
13,59.37500,29.24653,0.75506,6.59384,9.34952,40
16,50.00000,28.79070,0.72501,7.14208,9.91367,40
19,40.62500,28.10290,0.68583,7.87469,10.78180,40
22,31.25000,27.42273,0.63993,8.63753,11.71554,40
26,18.75000,26.23216,0.56322,9.97829,13.34912,40
29,9.37500,25.44335,0.50068,11.04774,14.68884,40
31,3.12500,24.55679,0.42952,12.30599,16.31462,40
