y,x,delta,overlap_pct,psnr,ssim,mae,rmse
160,768,6,81.25000,34.20255,0.85428,3.35116,4.97065
288,1120,6,81.25000,28.65921,0.80299,5.45791,9.40978
288,1280,6,81.25000,32.26662,0.82521,4.06535,6.21168
448,736,6,81.25000,34.43810,0.87594,3.58813,4.83766
480,32,6,81.25000,31.42612,0.82751,4.58084,6.84281
512,384,6,81.25000,37.63393,0.89304,2.48545,3.34845
512,640,6,81.25000,28.50397,0.77344,6.45397,9.57948
640,1344,6,81.25000,33.79453,0.84122,3.58844,5.20971
704,768,6,81.25000,30.01944,0.83100,5.48905,8.04578
800,736,6,81.25000,32.24176,0.83303,4.22863,6.22949
832,512,6,81.25000,30.39388,0.80320,5.95816,7.70630
832,896,6,81.25000,27.54476,0.80112,7.32765,10.69799
896,640,6,81.25000,30.66697,0.79262,5.24334,7.46778
896,800,6,81.25000,29.96226,0.80132,5.57804,8.09892
928,160,6,81.25000,28.96216,0.76306,6.20747,9.08724
928,416,6,81.25000,27.56217,0.86180,6.04601,10.67657
992,800,6,81.25000,28.36850,0.77910,6.54688,9.73005
1024,1280,6,81.25000,30.84977,0.79667,4.90409,7.31226
1056,960,6,81.25000,28.31427,0.77470,6.50391,9.79099
1088,1312,6,81.25000,29.36955,0.80361,5.91869,8.67087
1184,1120,6,81.25000,34.39345,0.88067,3.23921,4.86259
1216,64,6,81.25000,27.18778,0.75468,7.44589,11.14682
1248,1120,6,81.25000,29.03711,0.79302,5.87476,9.00917
1312,1280,6,81.25000,33.34455,0.81893,3.92224,5.48672
1344,384,6,81.25000,30.24627,0.81019,5.04026,7.83839
1376,864,6,81.25000,34.54012,0.89179,3.26713,4.78117
1376,1376,6,81.25000,32.31996,0.87175,4.54529,6.17365
1408,640,6,81.25000,32.71480,0.85958,3.57816,5.89930
1408,1248,6,81.25000,27.82006,0.76860,6.85778,10.36423
1472,1344,6,81.25000,32.54155,0.87687,3.79969,6.01815
1536,352,6,81.25000,35.36937,0.91997,3.13674,4.34582
1568,1312,6,81.25000,29.58202,0.82128,5.38634,8.46134
1632,640,6,81.25000,29.05188,0.84556,5.57348,8.99387
32,192,10,68.75000,28.26895,0.80408,5.78302,9.84221
32,1152,10,68.75000,24.53486,0.71562,10.27580,15.12855
64,192,10,68.75000,26.78781,0.73796,8.11734,11.67211
64,992,10,68.75000,34.88732,0.85965,3.45299,4.59382
96,96,10,68.75000,25.98960,0.79406,8.40921,12.79559
128,1088,10,68.75000,30.60451,0.78410,5.24899,7.52168
160,160,10,68.75000,28.38524,0.75395,6.65213,9.71132
160,768,10,68.75000,33.40744,0.81771,3.80461,5.44714
288,1120,10,68.75000,27.88651,0.78707,6.31083,10.28525
288,1280,10,68.75000,31.94054,0.78993,4.43157,6.44931
448,736,10,68.75000,35.45513,0.88983,3.12571,4.30312
480,32,10,68.75000,30.72185,0.79275,5.23393,7.42074
512,384,10,68.75000,34.93209,0.84494,3.47495,4.57021
512,640,10,68.75000,26.62785,0.71772,8.83172,11.88907
640,1344,10,68.75000,32.63661,0.80580,4.19644,5.95264
704,768,10,68.75000,29.01916,0.79084,6.31722,9.02780
800,736,10,68.75000,31.36689,0.79836,5.04439,6.88962
832,512,10,68.75000,30.97648,0.77950,5.23641,7.20637
832,896,10,68.75000,25.87021,0.73414,9.11495,12.97267
896,640,10,68.75000,28.79908,0.76600,6.55842,9.25948
896,800,10,68.75000,28.70237,0.75171,6.58380,9.36314
928,160,10,68.75000,27.71351,0.70669,7.62908,10.49216
928,416,10,68.75000,27.32305,0.85577,6.36224,10.97457
992,800,10,68.75000,28.35252,0.75985,6.99793,9.74797
1024,1280,10,68.75000,29.47047,0.75172,5.87934,8.57071
1056,960,10,68.75000,27.30396,0.69499,7.88665,10.99872
1088,1312,10,68.75000,27.81803,0.74664,6.68656,10.36665
1184,1120,10,68.75000,32.47323,0.83469,4.17276,6.06567
1216,64,10,68.75000,26.39097,0.71525,8.35396,12.21776
1248,1120,10,68.75000,27.86307,0.74946,6.92522,10.31304
1312,1280,10,68.75000,32.85139,0.78480,4.25936,5.80725
1344,384,10,68.75000,29.42301,0.77251,5.56109,8.61766
1376,864,10,68.75000,33.19739,0.89065,3.73769,5.58047
1376,1376,10,68.75000,31.33628,0.81464,4.97869,6.91395
1408,640,10,68.75000,32.31286,0.84346,4.06272,6.17870
1408,1248,10,68.75000,26.80085,0.74024,7.78359,11.65461
1472,1344,10,68.75000,33.42424,0.84172,3.79630,5.43661
1536,352,10,68.75000,36.79623,0.91655,2.77802,3.68747
1568,1312,10,68.75000,28.50907,0.77681,6.78891,9.57385
1632,640,10,68.75000,28.23208,0.81045,6.59480,9.88408
32,192,13,59.37500,29.00370,0.78695,5.94907,9.04389
32,1152,13,59.37500,23.85533,0.70556,11.27256,16.35963
64,192,13,59.37500,25.38883,0.71295,9.86026,13.71194
64,992,13,59.37500,35.05291,0.83319,3.41402,4.50708
96,96,13,59.37500,24.63270,0.73598,10.32511,14.95909
128,1088,13,59.37500,31.88617,0.75600,4.88432,6.48980
160,160,13,59.37500,25.92828,0.62739,9.04543,12.88625
160,768,13,59.37500,32.31618,0.76582,4.45056,6.17634
288,1120,13,59.37500,26.94382,0.75898,7.32829,11.46435
288,1280,13,59.37500,31.20532,0.74764,5.01255,7.01898
448,736,13,59.37500,36.20043,0.89113,2.84826,3.94929
480,32,13,59.37500,29.41360,0.74495,6.24816,8.62701
