blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.29415,11.24597,24.00061,0.67154
linear,1.07955,8.62179,30.90985,0.91697
cosine,1.05460,9.14124,32.31546,0.94160
gaussian,1.03143,9.43980,33.49531,0.95670
data,1.07966,9.02349,31.16882,0.92197
