blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.24387,12.41785,24.09511,0.68523
linear,1.10910,9.96580,31.43829,0.92715
cosine,1.08077,10.57707,32.92451,0.95008
gaussian,1.05473,10.90600,34.05119,0.96284
data,1.08473,10.48396,31.71426,0.93389
