y,x,delta,overlap_pct,psnr,ssim,mae,rmse
32,224,0,100.00000,99.99000,1.00000,0.00000,0.00000
32,1216,0,100.00000,99.99000,1.00000,0.00000,0.00000
64,224,0,100.00000,99.99000,1.00000,0.00000,0.00000
64,1056,0,100.00000,99.99000,1.00000,0.00000,0.00000
96,160,0,100.00000,99.99000,1.00000,0.00000,0.00000
128,1216,0,100.00000,99.99000,1.00000,0.00000,0.00000
160,256,0,100.00000,99.99000,1.00000,0.00000,0.00000
160,896,0,100.00000,99.99000,1.00000,0.00000,0.00000
288,1408,0,100.00000,99.99000,1.00000,0.00000,0.00000
320,160,0,100.00000,99.99000,1.00000,0.00000,0.00000
448,1152,0,100.00000,99.99000,1.00000,0.00000,0.00000
480,448,0,100.00000,99.99000,1.00000,0.00000,0.00000
512,832,0,100.00000,99.99000,1.00000,0.00000,0.00000
512,1088,0,100.00000,99.99000,1.00000,0.00000,0.00000
672,512,0,100.00000,99.99000,1.00000,0.00000,0.00000
704,1408,0,100.00000,99.99000,1.00000,0.00000,0.00000
832,32,0,100.00000,99.99000,1.00000,0.00000,0.00000
832,1248,0,100.00000,99.99000,1.00000,0.00000,0.00000
864,224,0,100.00000,99.99000,1.00000,0.00000,0.00000
896,1408,0,100.00000,99.99000,1.00000,0.00000,0.00000
928,160,0,100.00000,99.99000,1.00000,0.00000,0.00000
928,960,0,100.00000,99.99000,1.00000,0.00000,0.00000
928,1216,0,100.00000,99.99000,1.00000,0.00000,0.00000
1024,288,0,100.00000,99.99000,1.00000,0.00000,0.00000
1056,800,0,100.00000,99.99000,1.00000,0.00000,0.00000
1056,832,0,100.00000,99.99000,1.00000,0.00000,0.00000
1088,512,0,100.00000,99.99000,1.00000,0.00000,0.00000
1120,896,0,100.00000,99.99000,1.00000,0.00000,0.00000
1216,768,0,100.00000,99.99000,1.00000,0.00000,0.00000
1216,1120,0,100.00000,99.99000,1.00000,0.00000,0.00000
1280,832,0,100.00000,99.99000,1.00000,0.00000,0.00000
1344,1056,0,100.00000,99.99000,1.00000,0.00000,0.00000
1376,128,0,100.00000,99.99000,1.00000,0.00000,0.00000
1408,704,0,100.00000,99.99000,1.00000,0.00000,0.00000
1408,1216,0,100.00000,99.99000,1.00000,0.00000,0.00000
1440,448,0,100.00000,99.99000,1.00000,0.00000,0.00000
1440,1088,0,100.00000,99.99000,1.00000,0.00000,0.00000
1504,1248,0,100.00000,99.99000,1.00000,0.00000,0.00000
1568,288,0,100.00000,99.99000,1.00000,0.00000,0.00000
1600,1312,0,100.00000,99.99000,1.00000,0.00000,0.00000
32,224,3,90.62500,28.95303,0.88329,5.29796,9.09680
32,1216,3,90.62500,31.24158,0.84772,4.62775,6.98975
64,224,3,90.62500,28.28875,0.84312,5.96677,9.81980
64,1056,3,90.62500,26.34009,0.79613,8.30142,12.28954
96,160,3,90.62500,28.50209,0.87618,5.38497,9.58155
128,1216,3,90.62500,28.15866,0.80399,6.16568,9.96798
160,256,3,90.62500,27.32210,0.83286,7.10324,10.97578
160,896,3,90.62500,30.70341,0.82219,4.68611,7.43652
288,1408,3,90.62500,30.75237,0.82778,4.65119,7.39472
320,160,3,90.62500,26.73841,0.80426,7.36460,11.73870
448,1152,3,90.62500,30.07198,0.88104,4.92114,7.99726
480,448,3,90.62500,26.09444,0.80058,8.23202,12.64207
512,832,3,90.62500,30.69161,0.79954,5.00001,7.44662
512,1088,3,90.62500,35.83186,0.87942,2.91755,4.12048
672,512,3,90.62500,25.86484,0.78452,8.51801,12.98070
704,1408,3,90.62500,30.45100,0.87698,4.28341,7.65579
832,32,3,90.62500,30.72405,0.85074,4.82787,7.41887
832,1248,3,90.62500,35.61672,0.91009,2.83814,4.22381
864,224,3,90.62500,30.08018,0.86661,4.66326,7.98971
896,1408,3,90.62500,30.91306,0.82084,4.77230,7.25917
928,160,3,90.62500,26.20715,0.81709,7.95728,12.47908
928,960,3,90.62500,31.23849,0.86288,4.17534,6.99223
928,1216,3,90.62500,27.40328,0.87155,6.13319,10.87368
1024,288,3,90.62500,29.91740,0.83844,5.07075,8.14086
1056,800,3,90.62500,30.41704,0.88443,4.71032,7.68579
1056,832,3,90.62500,30.08768,0.88303,4.56491,7.98282
1088,512,3,90.62500,27.73457,0.79209,6.48126,10.46674
1120,896,3,90.62500,24.39532,0.72446,10.64245,15.37354
1216,768,3,90.62500,27.40758,0.81476,6.67957,10.86829
1216,1120,3,90.62500,29.53408,0.82372,5.41510,8.50817
1280,832,3,90.62500,28.19800,0.80984,6.55085,9.92294
1344,1056,3,90.62500,31.41593,0.84692,4.09825,6.85084
1376,128,3,90.62500,29.61752,0.78310,5.93273,8.42683
1408,704,3,90.62500,30.34516,0.85418,5.06409,7.74965
1408,1216,3,90.62500,28.51712,0.77834,6.39415,9.56498
1440,448,3,90.62500,33.26009,0.90406,3.28483,5.54033
1440,1088,3,90.62500,30.64961,0.80062,5.21857,7.48273
1504,1248,3,90.62500,30.50979,0.81088,5.58671,7.60415
1568,288,3,90.62500,25.98883,0.82068,8.11801,12.79672
1600,1312,3,90.62500,30.04875,0.86907,5.17014,8.01868
32,224,6,81.25000,28.00003,0.86257,6.04127,10.15170
32,1216,6,81.25000,29.91735,0.83225,5.65621,8.14091
64,224,6,81.25000,27.62515,0.82712,6.41178,10.59944
64,1056,6,81.25000,26.04988,0.78736,8.25893,12.70709
96,160,6,81.25000,27.35314,0.84496,6.26053,10.93662
128,1216,6,81.25000,28.43605,0.79770,6.07020,9.65468
160,256,6,81.25000,25.78665,0.77831,8.90179,13.09808
160,896,6,81.25000,30.04528,0.79794,5.30505,8.02188
288,1408,6,81.25000,29.97323,0.78054,5.58148,8.08870
320,160,6,81.25000,25.56992,0.72370,9.03745,13.42902
