delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,29.40584,0.83495,5.69430,8.95887,40
6,81.25000,28.41433,0.79959,6.64410,10.00576,40
10,68.75000,27.39327,0.75249,7.77715,11.30198,40
13,59.37500,26.80630,0.72389,8.45890,12.14119,40
16,50.00000,26.43033,0.69998,8.90460,12.68924,40
19,40.62500,25.71340,0.65512,9.85088,13.80640,40
22,31.25000,24.99686,0.60283,10.88598,15.05138,40
26,18.75000,23.96942,0.52449,12.39362,16.87750,40
29,9.37500,23.53393,0.45194,13.34898,17.86695,40
31,3.12500,23.33561,0.39816,13.91763,18.31489,40
