blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.05860,7.53989,35.36537,0.96587
innercrop,1.07596,7.42009,32.90037,0.93349
tukey,1.12288,6.58111,32.38957,0.91885
ensemble,1.04065,4.69189,28.79492,0.79876
poisson,1.00824,8.09688,34.50967,0.99027
