blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.31476,9.95720,24.58354,0.63163
linear,1.14284,7.34047,31.16235,0.90324
cosine,1.10906,7.86768,32.56155,0.93202
gaussian,1.07846,8.19121,33.79561,0.95067
data,1.13532,7.78633,31.74519,0.91414
