delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,29.64731,0.83805,5.64591,8.88106,40
6,81.25000,28.89340,0.80833,6.40309,9.71323,40
10,68.75000,27.92980,0.76406,7.42047,10.83133,40
13,59.37500,27.40797,0.73461,8.01781,11.53625,40
16,50.00000,26.90225,0.69890,8.67418,12.34075,40
19,40.62500,26.36585,0.65756,9.44335,13.15859,40
22,31.25000,25.68536,0.61083,10.33612,14.26065,40
26,18.75000,24.91776,0.53134,11.50574,15.61995,40
29,9.37500,24.16776,0.46640,12.65059,16.98911,40
31,3.12500,24.20829,0.41496,12.71590,16.91073,40
