blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.27085,8.59044,25.44988,0.69306
linear,1.07834,6.48262,32.06492,0.92092
cosine,1.05223,6.90158,33.29605,0.94362
gaussian,1.02835,7.15286,34.32255,0.95790
data,1.07745,6.82931,32.48054,0.92725
