delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,31.38835,0.84974,4.72410,7.40636,40
6,81.25000,30.55093,0.81724,5.46423,8.12290,40
10,68.75000,29.79026,0.78152,6.17547,8.85446,40
13,59.37500,29.20063,0.75314,6.74877,9.56724,40
16,50.00000,28.54087,0.71965,7.35880,10.23966,40
19,40.62500,27.86903,0.68428,7.98447,10.99951,40
22,31.25000,27.11313,0.63781,8.85884,11.94706,40
26,18.75000,25.91788,0.56608,10.40887,13.69344,40
29,9.37500,25.18374,0.49819,11.50884,15.01894,40
31,3.12500,24.54479,0.46228,12.30511,16.24990,40
