blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.28784,11.59396,23.69329,0.65551
linear,1.08999,8.91128,30.23002,0.90829
cosine,1.06404,9.46659,31.66670,0.93546
gaussian,1.04052,9.79483,32.95284,0.95282
data,1.07939,9.39514,30.78253,0.91859
