blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.30074,8.37889,25.65204,0.70691
linear,1.10560,6.33783,32.21274,0.92487
cosine,1.07909,6.74545,33.42021,0.94638
gaussian,1.05434,6.98468,34.41022,0.95964
data,1.09777,6.67453,32.65562,0.93108
