blend,seam_excess,tv,psnr_ref,ssim_ref
smoothed,1.03922,6.64759,35.14481,0.96450
innercrop,1.07947,6.25498,31.77685,0.91322
tukey,1.10696,5.73885,32.16862,0.91872
ensemble,0.98807,4.03458,28.64273,0.80199
poisson,0.98631,7.19798,34.22839,0.98858
