blend,seam_excess,tv,psnr_ref,ssim_ref
none,1.32839,7.85545,25.58872,0.69636
linear,1.07000,5.78629,32.18434,0.91892
cosine,1.04311,6.16583,33.39803,0.94133
gaussian,1.01915,6.39508,34.40188,0.95557
data,1.07423,6.12130,32.65350,0.92454
