delta,overlap_pct,psnr,ssim,mae,rmse,n
0,100.00000,99.99000,1.00000,0.00000,0.00000,40
3,90.62500,30.20144,0.82393,5.32546,8.12181,40
6,81.25000,29.23981,0.78638,6.17978,9.08562,40
10,68.75000,28.43587,0.74940,6.97461,9.96525,40
13,59.37500,27.77424,0.71664,7.66153,10.74551,40
16,50.00000,27.14325,0.67849,8.40606,11.55802,40
19,40.62500,26.70102,0.64812,8.96825,12.18561,40
22,31.25000,26.16953,0.59689,9.74032,13.08851,40
26,18.75000,25.19591,0.51655,10.99083,14.71889,40
29,9.37500,24.73087,0.45873,12.00851,15.78180,40
31,3.12500,24.55651,0.42113,12.41742,16.17623,40
